id,size,width,height,pixels,movie_year,red_pixels,green_pixels,blue_pixels,object detected
tt1047540,33865,300,445,133500,2012,22745940,22565178,22992663,"woman 0.287, man 0.231, man 0.187, woman 0.129, woman 0.116, woman 0.112, microphone 0.099, woman 0.091, woman 0.091, microphone 0.090, microphone 0.086, animal 0.069, animal 0.055, woman 0.053, microphone 0.034, woman 0.025, woman 0.019, microphone 0.013, microphone 0.012, microphone 0.009, microphone 0.008, microphone 0.006, microphone 0.006, microphone 0.005, shield 0.005, microphone 0.004, woman 0.004, microphone 0.003, animal 0.003"
tt1703958,33919,300,467,140100,2012,18422468,15206670,13773385,"woman 0.615, instrument 0.213, man 0.187, man 0.172, woman 0.117, roses 0.004, car 0.004"
tt2177711,33968,300,444,133200,2012,11917622,13935461,16882344,"woman 0.751, man 0.589, car 0.048, microphone 0.046, woman 0.014, man 0.012, microphone 0.004"
tt1995304,34088,300,439,131700,2012,17805428,17660870,17610695,"woman 0.101, man 0.090, instrument 0.017, weapon 0.014, roses 0.014, weapon 0.012, car 0.009, roses 0.008, woman 0.008, weapon 0.007, roses 0.006, man 0.006, airplane 0.005, animal 0.005, weapon 0.003, roses 0.003"
tt0485985,34093,300,444,133200,2012,10689884,11421718,14646928,"airplane 0.346, airplane 0.093, weapon 0.085, airplane 0.043, airplane 0.038, airplane 0.038, weapon 0.014, woman 0.008, weapon 0.006, roses 0.005, weapon 0.005, shield 0.005, weapon 0.005, car 0.004, airplane 0.004, roses 0.004, roses 0.003"
tt2124074,34194,300,450,135000,2012,13093058,12305113,11597926,"animal 0.047, woman 0.034, shield 0.024, instrument 0.023, roses 0.023, roses 0.013, woman 0.006, weapon 0.006, microphone 0.003"
tt1918886,34249,300,401,120300,2012,7656277,9971458,11672211,"instrument 0.595, woman 0.427, man 0.317, animal 0.040, animal 0.037, woman 0.036, instrument 0.016, instrument 0.014, shield 0.012, instrument 0.012, animal 0.011, animal 0.011, instrument 0.010, animal 0.010, animal 0.010, animal 0.009, instrument 0.007, animal 0.007, animal 0.007, instrument 0.006, instrument 0.006, instrument 0.005, animal 0.004, animal 0.004, shield 0.004, instrument 0.003, animal 0.003"
tt1730687,34326,300,444,133200,2012,11091910,14571632,17892456,"animal 0.660, woman 0.546, man 0.356, woman 0.015, woman 0.005, woman 0.004, man 0.003"
tt2234315,34364,300,443,132900,2012,2458229,2328447,5766427,"microphone 0.017, car 0.016, animal 0.003"
tt1667889,34399,300,444,133200,2012,23529877,19407030,13212441,"animal 0.325, animal 0.145, animal 0.077, animal 0.073, animal 0.060, animal 0.047, animal 0.024, animal 0.020, airplane 0.015, animal 0.014, animal 0.010, animal 0.008, animal 0.007, animal 0.005, animal 0.004, animal 0.003"
tt1714203,34470,300,447,134100,2012,7897094,8917727,6887852,"animal 0.151, roses 0.005"
tt1991245,34496,300,444,133200,2012,13906093,15103307,13831765,"animal 0.018, animal 0.004, animal 0.004, animal 0.003, animal 0.003"
tt1855199,34502,300,463,138900,2012,10347274,12335325,12296607,"instrument 0.628, man 0.437, man 0.194, instrument 0.104, instrument 0.084, instrument 0.048, man 0.029, instrument 0.024, instrument 0.023, instrument 0.011, instrument 0.010, instrument 0.010, microphone 0.009, microphone 0.008, instrument 0.005"
tt1978480,34540,300,450,135000,2012,16121124,14965752,15218830,"woman 0.516, woman 0.444, woman 0.150, woman 0.033, man 0.033, woman 0.012, woman 0.009, woman 0.009, man 0.006, car 0.005, instrument 0.005, airplane 0.004, man 0.003"
